rep	prior_id	scenario_id	prior_label	design_prior_type	prior_family	omega_D	profile	component	component_id	H_D	true_delta_rmst_lookup	true_delta_rmst_rep	true_delta_med_rep	N_planned	K1	K2	n_interim	n_final	events_interim	events_final	censor_rate_interim	censor_rate_final	calendar_cutoff_interim	calendar_cutoff_final	tau	delta_star	a0_gp	grid_width_gp	B0_median_pfs	chains	parallel_chains	iter_warmup	iter_sampling	thin	adapt_delta	max_treedepth	n_saved_draws	cmdstan_seed	Pi1	Pi2_cf	post_mean_1	post_q025_1	post_q500_1	post_q975_1	post_width_1	post_mean_2	post_q025_2	post_q500_2	post_q975_2	post_width_2	Pi_beneficial_med_1	post_mean_med_1	post_q025_med_1	post_q500_med_1	post_q975_med_1	post_width_med_1	na_rate_med_1	Pi_beneficial_med_2	post_mean_med_2	post_q025_med_2	post_q500_med_2	post_q975_med_2	post_width_med_2	na_rate_med_2	cover_lookup_1	bias_lookup_1	sqerr_lookup_1	cover_lookup_2	bias_lookup_2	sqerr_lookup_2	cover_rep_1	bias_rep_1	sqerr_rep_1	cover_rep_2	bias_rep_2	sqerr_rep_2	cover_med_rep_1	bias_med_rep_1	sqerr_med_rep_1	cover_med_rep_2	bias_med_rep_2	sqerr_med_rep_2	max_Rhat_1	min_ESS_1	n_divergent_1	max_Rhat_2	min_ESS_2	n_divergent_2	post_eta_PH_trt_mean_1	post_eta_PH_trt_q025_1	post_eta_PH_trt_q500_1	post_eta_PH_trt_q975_1	post_eta_PH_trt_mean_2	post_eta_PH_trt_q025_2	post_eta_PH_trt_q500_2	post_eta_PH_trt_q975_2
1	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	1.85106788220893	3.57988089402175	1000	360	600	1000	1000	360	732	0.64	0.268	6.91860217596727	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101000	0.9931	0.9809	1.69813802227742	0.343478876372726	1.68920416093596	3.09680565071306	2.75332677434034	1.05560235959395	0.050112617100841	1.05660430503844	2.06100010845155	2.01088749135071	0.992397987702627	2.50361825737526	0.0669177259051839	0.910454179298348	10.7176781708911	10.6507604449859	0.1055	0.9809	1.86060132481521	0.0862388532482881	1.85118042917656	3.7034526773835	3.61721382413521	0	NA	NA	NA	NA	NA	NA	1	-0.152929859931511	0.0233875420586714	1	-0.795465522614981	0.632765397669125	1	-1.07626263664649	1.15834126304125	1	-1.71927956920655	2.95592223709104	1.0018185188993	4173.43751009762	0	1.00142119428064	10532.3763426809	0	0.257689349908608	0.05174001725	0.257674045	0.46481627275	0.15232725047787	0.007263226705	0.152385365	0.29689424475
2	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	2.24614225572074	4.07262712414519	1000	360	600	1000	1000	360	708	0.64	0.292	7.17635380692549	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101001	0.9894	0.9998	1.59285692039657	0.235499971992139	1.59515773848846	2.96755133552293	2.73205136353079	1.76211509358183	0.752784689735131	1.76981108129357	2.75319735551161	2.00041266577648	0.988780112198878	2.51259782381494	0.0547653720245034	0.97866338132491	10.442563865895	10.3877984938705	0.0909	0.9998	3.42123080531627	1.38001060109866	3.43425718054221	5.5459933803578	4.16598277925914	0	NA	NA	NA	NA	NA	NA	1	-0.653285335324165	0.426781729349607	1	-0.484027162138907	0.234282293688244	1	-1.56002930033025	2.43369141788887	1	-0.651396318828915	0.424317164183861	1.0014201605637	4414.87330949469	0	1.0013293444995	10542.7568708861	0	0.23991292263733	0.03675739555	0.24044204	0.446307465	0.25295737912046	0.10792511375	0.25377368	0.3966488765
3	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	2.43076077676206	4.97109183101975	1000	360	600	1000	1000	360	681	0.64	0.319	7.38216806358201	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101002	0.9997	1	2.31283170697306	0.909818212200493	2.30079256423341	3.73671576148922	2.82689754928872	2.24023602876253	1.20813748663648	2.24069279947614	3.28579272741856	2.07765524078208	0.999646226415094	3.29983596266511	0.159679396272666	2.04327636344383	11.4644960274214	11.3048166311487	0.152	1	4.57496015566063	2.35374960081756	4.55375734774426	7.05789367762857	4.70414407681101	0	NA	NA	NA	NA	NA	NA	1	-0.117929069788993	0.0139072655012971	1	-0.190524747999526	0.0362996796002828	1	-1.67125586835464	2.79309617750982	1	-0.396131675359122	0.156920304222825	1.00116962521597	4468.74082638486	0	1.00122615622661	11739.428618937	0	0.34771042018195	0.138767414	0.347026955	0.55667858	0.3212077161938	0.17254760525	0.32091711	0.47271482875
5	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	2.29755430726665	4.4335286534512	1000	360	600	1000	1000	360	683	0.64	0.317	7.62764149474414	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101004	0.9998	0.9999	2.43456096922837	1.07576544234328	2.43320504423471	3.844054605664	2.76828916332072	1.75756050281615	0.734014252437484	1.76226337310853	2.79426332762004	2.06024907518255	0.999759990399616	3.5075933006555	0.188261194590017	2.39479622355968	11.7896524365228	11.6013912419327	0.1667	0.9999	3.32663029168796	1.20557563260418	3.22797863083086	5.90168054224232	4.69610490963814	0	NA	NA	NA	NA	NA	NA	1	0.137006661961713	0.018770825421891	1	-0.539993804450505	0.291593308844931	1	-0.925935352795707	0.85735627755691	1	-1.10689836176324	1.22522398327414	1.00154475518228	4406.94617834047	0	1.00134292836792	10880.7194391243	0	0.3678915155102	0.1652280955	0.367927455	0.57539259625	0.25251815663908	0.10521303475	0.252899555	0.4021028925
4	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	2.04763072061755	3.84845572770371	1000	360	600	1000	1000	360	724	0.64	0.276	6.97497219817861	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101003	0.9889	0.9998	1.60021987164339	0.23643958103706	1.59060978274469	3.03099100931592	2.79455142827886	1.78446224480757	0.777205134608113	1.78223660391987	2.79452680289787	2.01732166828975	0.988128569828648	2.29639923000376	0.0531395219250584	0.750860748325203	10.1952684928499	10.1421289709248	0.1071	0.9998	3.0091308885284	1.12758880942546	2.95997751766412	5.14491493846004	4.01732612903457	0	NA	NA	NA	NA	NA	NA	1	-0.44741084897416	0.200176467779779	1	-0.26316847580998	0.0692576466601482	1	-1.55205649769996	2.40887937205266	1	-0.839324839175311	0.704466185656661	1.00230789190723	4207.35612720164	0	1.0016972128087	9528.13499809412	0	0.242031307703911	0.036013425675	0.241228415	0.455169001	0.252197775029103	0.10954613075	0.251857505	0.39536424725
6	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	2.25278029845068	4.43684841207271	1000	360	600	1000	1000	360	694	0.64	0.306	6.83795398597368	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101005	0.971	0.9957	1.29592801952015	-0.037508062571988	1.28484918860221	2.70276374140615	2.74027180397814	1.36581804857314	0.341039999296274	1.36367594494524	2.39955182683237	2.05851182753609	0.969676994067238	1.94126099993307	-0.0155259286284836	0.522934886728168	9.79010918312493	9.80563511175341	0.0898	0.9957	2.9386382856053	0.715925730947639	2.92233238937964	5.28730211504977	4.57137638410213	0	NA	NA	NA	NA	NA	NA	1	-0.956852278930536	0.915566283694561	1	-0.886962249877541	0.78670203270783	1	-2.49558741213964	6.22795653162984	1	-1.49821012646742	2.24463358304951	1.00144334385054	4700.2149151592	1	1.00184089289077	10402.405678803	0	0.198082631428293	-0.0057790424775	0.196862725	0.40763293375	0.196235065246826	0.048779651275	0.195798955	0.34618649075
7	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	2.3985844070993	4.37570652995322	1000	360	600	1000	1000	360	702	0.64	0.298	7.56329033740063	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101006	0.9983	0.9999	1.9525390357671	0.591885433688877	1.95164325889713	3.31936582846871	2.72748039477983	2.00779845314287	1.00133171340864	2.0065153686068	3.02480116009246	2.02346944668382	0.99802279599907	2.79687235249617	0.112598777881221	1.43387706443772	10.6212364431123	10.5086376652311	0.1402	0.9999	3.73399739580095	1.7209296578483	3.71997841343673	5.84924473972383	4.12831508187553	0	NA	NA	NA	NA	NA	NA	1	-0.446045371332206	0.198956473286885	1	-0.39078595395643	0.152713661809637	1	-1.57883417745705	2.49271735990648	1	-0.641709134152274	0.411790612854461	1.00128989991612	4550.90925460296	0	1.00110453501465	11498.3063640229	0	0.30715184417286	0.0957633335	0.30720209	0.51880333175	0.2925949174637	0.14512634275	0.292492315	0.44317530975
8	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	2.13291402759544	4.36088747630429	1000	360	600	1000	1000	360	718	0.64	0.282	6.84431143614486	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101007	0.9996	1	2.38922296983124	0.963191739524048	2.38034156613442	3.82818165969477	2.86498992017073	2.61428147908249	1.60265009138997	2.6204467122112	3.62046136363107	2.0178112722411	0.999532546453196	3.32399206284479	0.161695179726861	2.06012085504632	11.8606811724441	11.6989859927172	0.1443	1	5.0291135788506	2.95388886189208	4.94104656964736	7.56868269688878	4.6147938349967	0	NA	NA	NA	NA	NA	NA	1	0.256308942235802	0.0656942738700355	1	0.481367451487047	0.231714623351135	1	-1.0368954134595	1.07515209845336	1	0.668226102546308	0.446526124124229	1.00122103350731	3989.83492943114	0	1.00114372773166	11638.102318847	0	0.3600720575213	0.150644905	0.35876382	0.57195737025	0.3708545431139	0.22617413625	0.371438595	0.51690350625
9	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	1.44762380627498	2.94044981536696	1000	360	600	1000	1000	360	721	0.64	0.279	6.28155410170575	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101008	0.9605	0.9988	1.25067102716683	-0.149869608414548	1.25291216397196	2.69767718619659	2.84754679461114	1.66223489526146	0.629302907555437	1.65826337996415	2.71254323852425	2.08324033096881	0.959174994684244	1.88997479704086	-0.0538365434783212	0.53296142507141	9.65666104629397	9.71049758977229	0.0594	0.9988	3.03486819800195	1.01872526019269	3.0651456945977	5.04787730889333	4.02915204870064	0	NA	NA	NA	NA	NA	NA	1	-0.196952779108144	0.0387903971984215	1	0.214611088986485	0.0460579195159652	1	-1.0504750183261	1.10349776412723	1	0.0944183826349891	0.00891483097940722	1.00251501738526	4061.19352336892	0	1.00240123036999	11390.5814480168	0	0.18614896591415	-0.023311189325	0.18747953	0.39641579575	0.233154370581831	0.08791698805	0.232763085	0.381076669
10	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	2.24745945878968	4.51785621243846	1000	360	600	1000	1000	360	691	0.64	0.309	7.20955407234894	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101009	0.9985	1	1.98806281080124	0.63365242249186	1.97291370719709	3.3590407514798	2.72538832898794	2.36444302051538	1.34316797339585	2.3696855940415	3.38772989827893	2.04456192488308	0.99832626645838	3.134139695671	0.128551966469755	1.89368223148681	11.673512674839	11.5449607083692	0.1038	1	4.91943873356345	2.58537150407216	4.88759607908201	7.33114737956308	4.74577587549092	0	NA	NA	NA	NA	NA	NA	1	-0.259396647988445	0.0672866209876414	1	0.116983561725699	0.0136851537140304	1	-1.38371651676746	1.91467139877507	1	0.401582521124991	0.161268521273104	1.0011911177113	4910.18039007895	0	1.00108260050138	11468.5641268835	0	0.307237759185672	0.101963512	0.307153395	0.517685746	0.3453722195397	0.19563501775	0.34587102	0.49658692475
