rep	prior_id	scenario_id	prior_label	design_prior_type	prior_family	omega_D	profile	component	component_id	H_D	true_delta_rmst_lookup	true_delta_rmst_rep	true_delta_med_rep	N_planned	K1	K2	n_interim	n_final	events_interim	events_final	censor_rate_interim	censor_rate_final	calendar_cutoff_interim	calendar_cutoff_final	tau	delta_star	a0_gp	grid_width_gp	B0_median_pfs	chains	parallel_chains	iter_warmup	iter_sampling	thin	adapt_delta	max_treedepth	n_saved_draws	cmdstan_seed	Pi1	Pi2_cf	post_mean_1	post_q025_1	post_q500_1	post_q975_1	post_width_1	post_mean_2	post_q025_2	post_q500_2	post_q975_2	post_width_2	Pi_beneficial_med_1	post_mean_med_1	post_q025_med_1	post_q500_med_1	post_q975_med_1	post_width_med_1	na_rate_med_1	Pi_beneficial_med_2	post_mean_med_2	post_q025_med_2	post_q500_med_2	post_q975_med_2	post_width_med_2	na_rate_med_2	cover_lookup_1	bias_lookup_1	sqerr_lookup_1	cover_lookup_2	bias_lookup_2	sqerr_lookup_2	cover_rep_1	bias_rep_1	sqerr_rep_1	cover_rep_2	bias_rep_2	sqerr_rep_2	cover_med_rep_1	bias_med_rep_1	sqerr_med_rep_1	cover_med_rep_2	bias_med_rep_2	sqerr_med_rep_2	max_Rhat_1	min_ESS_1	n_divergent_1	max_Rhat_2	min_ESS_2	n_divergent_2	post_eta_PH_trt_mean_1	post_eta_PH_trt_q025_1	post_eta_PH_trt_q500_1	post_eta_PH_trt_q975_1	post_eta_PH_trt_mean_2	post_eta_PH_trt_q025_2	post_eta_PH_trt_q500_2	post_eta_PH_trt_q975_2
14	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	1000	360	600	1000	1000	360	762	0.64	0.238	6.02725881663374	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101013	0.7586	0.7077	0.497293331139022	-0.851885701258961	0.496628016440912	1.88766583212366	2.73955153338262	0.28512271486478	-0.721445735839561	0.283090274395644	1.28204636641594	2.0034921022555	0.757430388987381	0.818944121318253	-1.56542052322851	0.160882946259061	7.26433060781339	8.82975113104191	0.0411	0.7077	0.442979159153114	-1.12354975655034	0.429877817636033	2.01900281543791	3.14255257198825	0	NA	NA	NA	NA	NA	NA	1	0.497293331139022	0.247300657195345	1	0.28512271486478	0.0812949625318625	1	0.818944121318253	0.670669473841725	1	0.442979159153114	0.196230535444	1.00094802235082	4032.28423358407	0	1.00085296122396	10545.7641275196	0	0.0737969411127238	-0.12708424225	0.0746894525	0.27694792225	0.0398958559174309	-0.1011791125	0.0394763415	0.179483558
17	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	1000	360	600	1000	1000	360	759	0.64	0.241	6.53923559866383	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101016	0.3872	0.5639	-0.205211724625438	-1.53896655363873	-0.205034537802145	1.14394210071534	2.68290865435407	0.0855127918513995	-0.948969148407902	0.0845713469161513	1.09618381365258	2.04515296206048	0.384510441809214	-0.264063553846587	-5.13158291922504	-0.0572205778324566	3.19093722372114	8.32252014294617	0.0471	0.5639	0.115570611962217	-1.33072393005342	0.114856484685415	1.53342158662929	2.86414551668271	0	NA	NA	NA	NA	NA	NA	1	-0.205211724625438	0.0421118519237466	1	0.0855127918513995	0.00731243757022078	1	-0.264063553846587	0.0697295604700893	1	0.115570611962217	0.0133565663493213	1.00104067850346	4153.39403647684	0	1.00170461626748	10327.5143162826	0	-0.0313710760847681	-0.2337748175	-0.0308494465	0.169198359	0.0119026881750698	-0.13176761375	0.0117578235	0.15273993025
15	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	1000	360	600	1000	1000	360	763	0.64	0.237	5.96096723694998	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101014	0.565	0.1971	0.125232053799484	-1.24724519100561	0.110863394882868	1.52311390975297	2.77035910075858	-0.443496464737119	-1.45449579117298	-0.449035239724376	0.587722147715524	2.04221793888851	0.561870805369127	0.190489750616013	-3.55739105475144	0.0285669006315925	5.08779710100798	8.64518815575943	0.0464	0.1971	-0.557764169312912	-1.99095999120224	-0.531449118057412	0.735745573133948	2.72670556433619	0	NA	NA	NA	NA	NA	NA	1	0.125232053799484	0.0156830672988367	1	-0.443496464737119	0.196689114234322	1	0.190489750616013	0.036286345089751	1	-0.557764169312912	0.311100868569323	1.0015420514335	4211.21187918452	0	1.00124068300515	10106.7161181815	0	0.018192933645387	-0.186546728	0.016786723	0.223453899	-0.0615207345105296	-0.20277499375	-0.062230914	0.0813229950999999
13	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	1000	360	600	1000	1000	360	715	0.64	0.285	6.93430363727953	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101012	0.9483	0.8156	1.14995409410891	-0.225068471155377	1.14390344295354	2.5659980469061	2.79106651806147	0.478916319573656	-0.548371959545938	0.471260197584087	1.53266536581066	2.08103732535659	0.945464480874317	1.60392490244376	-0.0916792346809669	0.421338846076421	8.81615962186249	8.90783885654345	0.085	0.8156	0.862694467430606	-0.977924743427878	0.831252260436682	2.86454552999655	3.84247027342443	0	NA	NA	NA	NA	NA	NA	1	1.14995409410891	1.32239441855783	1	0.478916319573656	0.229360841153977	1	1.60392490244376	2.57257509267923	1	0.862694467430606	0.744241744135377	1.00089321825504	4450.41796100712	0	1.00104997906482	10575.533786504	0	0.172962073356435	-0.03448423895	0.172466945	0.381989619	0.0675412411823682	-0.076873013625	0.0664171715	0.217545723
16	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	1000	360	600	1000	1000	360	775	0.64	0.225	5.72473691118236	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101015	0.6868	0.7064	0.353495901078806	-1.02769676615623	0.349814202335506	1.73232566660608	2.76002243276231	0.279822235979569	-0.71804503188577	0.280501052358639	1.26658921968984	1.98463425157561	0.6840237921319	0.52167311533346	-2.76145386152386	0.106941247249649	6.0594757767161	8.82092963823995	0.0417	0.7064	0.358948179982037	-0.941161326727174	0.350317625671021	1.69627904738053	2.63744037410771	0	NA	NA	NA	NA	NA	NA	1	0.353495901078806	0.124959352079517	1	0.279822235979569	0.0783004837486054	1	0.52167311533346	0.272142839261718	1	0.358948179982037	0.128843795912416	1.00176797931167	4059.60381650109	0	1.00143305676255	11315.656453833	0	0.0516285437248694	-0.151203464	0.0521253515	0.25257143925	0.0386470170617296	-0.09939787765	0.038739681	0.1752099515
4	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	1000	360	600	1000	1000	360	748	0.64	0.252	6.45452459213612	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101003	0.0622	0.1322	-1.06652345605917	-2.44104183817867	-1.05664833223455	0.305175194458165	2.74621703263684	-0.585193904651705	-1.60915857650133	-0.583777148603734	0.42956711059475	2.03872568709608	0.063713655925265	-1.46080820224984	-8.29207846932023	-0.386126260389059	0.129640541871463	8.4217190111917	0.0473	0.1322	-0.84882790339672	-2.38579824456346	-0.833063133549598	0.610334495066286	2.99613273962975	0	NA	NA	NA	NA	NA	NA	1	-1.06652345605917	1.1374722823244	1	-0.585193904651705	0.342451906041509	1	-1.46080820224984	2.13396060376041	1	-0.84882790339672	0.720508809584872	1.00164822580281	3955.44879517095	0	1.00141543333351	10422.824455354	0	-0.165582461676578	-0.37642348425	-0.164959175	0.0463460734999998	-0.082269804966239	-0.22676567975	-0.0820272985	0.0607324659
86	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	1000	360	600	1000	1000	360	743	0.64	0.257	6.12316958572706	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101085	0.5853	0.7389	0.166013005705892	-1.22532192584629	0.161396627510431	1.58388689131333	2.80920881715962	0.337442833633057	-0.693358354130496	0.335210537977566	1.36532805297314	2.05868640710364	0.584284824579614	0.2762672429762	-3.61188338630278	0.046321269682096	5.53741074404663	9.14929413034942	0.0366	0.7389	0.502632119027867	-1.05111376746375	0.488344192203577	2.10534836805889	3.15646213552264	0	NA	NA	NA	NA	NA	NA	1	0.166013005705892	0.0275603180635046	1	0.337442833633057	0.113867665970307	1	0.2762672429762	0.076323589541671	1	0.502632119027867	0.252639047078444	1.00083928416177	3912.30147261354	0	1.00189182789334	10528.6530433257	0	0.0241731567888079	-0.18422303425	0.0238688065	0.23331770125	0.0465102694792501	-0.09569305505	0.0461947255	0.18824689725
52	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	1000	360	600	1000	1000	360	751	0.64	0.249	5.9308144325839	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101051	0.9002	0.602	0.868723734935197	-0.48078742945326	0.861678548075096	2.22412875468431	2.70491618413757	0.134098852915059	-0.866057566153999	0.13239167248997	1.14905303558863	2.01511060174263	0.898644355009532	1.32240576680463	-0.231757329791534	0.313422028195617	8.42103577761688	8.65279310740842	0.0558	0.602	0.204584212978855	-1.36380529795561	0.197738251379652	1.76577807827213	3.12958337622773	0	NA	NA	NA	NA	NA	NA	1	0.868723734935197	0.754680927639759	1	0.134098852915059	0.0179825023531347	1	1.32240576680463	1.74875701207815	1	0.204584212978855	0.0418547002001775	1.00107104409819	4072.97547473674	0	1.00149560473157	9870.8914439974	0	0.133626879029189	-0.074329463325	0.133292215	0.33948829775	0.0188948072318685	-0.12294173375	0.0186675495	0.1623492025
49	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	1000	360	600	1000	1000	360	724	0.64	0.276	6.20203111620751	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101048	0.8767	0.5204	0.821408727024466	-0.587471848309004	0.806819095098959	2.26685001330711	2.85432186161611	0.0306178373710903	-1.03466454840999	0.0265459351272144	1.05544161680991	2.09010616521989	0.874661387789123	1.34244364200557	-0.400296806803857	0.319223314773499	8.49608418893914	8.896380995743	0.0402	0.5204	0.0474545298445388	-1.69602124892218	0.0422208864171383	1.74565649114808	3.44167774007026	0	NA	NA	NA	NA	NA	NA	1	0.821408727024466	0.674712296831953	1	0.0306178373710903	0.000937451965282532	1	1.34244364200557	1.80215493196119	1	0.0474545298445388	0.00225193240276622	1.0010809137094	4567.43397581462	0	1.00142074354152	10411.4705776403	0	0.120565273737946	-0.085277414575	0.11976253	0.3287071835	0.00423936965295668	-0.14344202725	0.0036758264	0.147097669
1	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	1000	360	600	1000	1000	360	744	0.64	0.256	5.89877857430284	24	24	0	2	1	10	4	1	5000	2500	1	0.95	12	10000	101000	0.2248	0.7422	-0.536420496630454	-1.94531514430721	-0.538001832645294	0.871406821395163	2.81672196570237	0.349505472661075	-0.669650790304414	0.346006225888001	1.39692063400022	2.06657142430463	0.224078879086663	-0.694378176474041	-6.50401483234847	-0.158411876427698	1.54155191323747	8.04556674558594	0.0365	0.7422	0.553928672577901	-1.08397689975148	0.534206462123604	2.26687259230878	3.35084949206026	0	NA	NA	NA	NA	NA	NA	1	-0.536420496630454	0.287746949205263	1	0.349505472661075	0.122154075420041	1	-0.694378176474041	0.482161051963415	1	0.553928672577901	0.306836974303915	1.00119611051399	3948.2500006926	0	1.00149411946522	11076.6510025366	0	-0.0807523823074731	-0.29050530725	-0.081411507	0.1282873505	0.0480698982973896	-0.0920437133	0.0476731	0.191672024
