rep	prior_id	scenario_id	prior_label	design_prior_type	prior_family	omega_D	profile	component	component_id	H_D	true_delta_rmst_lookup	true_delta_rmst_rep	true_delta_med_rep	N_planned	K1	K2	n_interim	n_final	events_interim	events_final	censor_rate_interim	censor_rate_final	calendar_cutoff_interim	calendar_cutoff_final	tau	delta_star	a0_gp	grid_width_gp	B0_median_pfs	chains	parallel_chains	iter_warmup	iter_sampling	thin	adapt_delta	max_treedepth	n_saved_draws	cmdstan_seed	Pi1	Pi2_cf	post_mean_1	post_q025_1	post_q500_1	post_q975_1	post_width_1	post_mean_2	post_q025_2	post_q500_2	post_q975_2	post_width_2	Pi_beneficial_med_1	post_mean_med_1	post_q025_med_1	post_q500_med_1	post_q975_med_1	post_width_med_1	na_rate_med_1	Pi_beneficial_med_2	post_mean_med_2	post_q025_med_2	post_q500_med_2	post_q975_med_2	post_width_med_2	na_rate_med_2	cover_lookup_1	bias_lookup_1	sqerr_lookup_1	cover_lookup_2	bias_lookup_2	sqerr_lookup_2	cover_rep_1	bias_rep_1	sqerr_rep_1	cover_rep_2	bias_rep_2	sqerr_rep_2	cover_med_rep_1	bias_med_rep_1	sqerr_med_rep_1	cover_med_rep_2	bias_med_rep_2	sqerr_med_rep_2	max_Rhat_1	min_ESS_1	n_divergent_1	max_Rhat_2	min_ESS_2	n_divergent_2	post_eta_PH_trt_mean_1	post_eta_PH_trt_q025_1	post_eta_PH_trt_q500_1	post_eta_PH_trt_q975_1	post_eta_PH_trt_mean_2	post_eta_PH_trt_q025_2	post_eta_PH_trt_q500_2	post_eta_PH_trt_q975_2
1	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	1.85974560296697	3.31983169331124	700	252	420	700	700	252	484	0.64	0.308571428571429	8.58243136072848	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101000	0.6509	0.9967	0.908526729260744	-3.82294488422968	0.92620764568125	5.48183247893376	9.30477736316344	1.73611232244112	0.503873514833643	1.73869866588992	2.94967877469218	2.44580525985854	0.5788876276958	0.986474822793517	-9.22981909922461	0.936754033942437	10.8643338204212	20.0941529196458	0.119	0.9935	3.1877644713217	0.606239099540113	3.03606075658206	6.4378639280486	5.83162482850849	0	NA	NA	NA	NA	NA	NA	1	-0.951218873706226	0.904817345694942	1	-0.123633280525854	0.0152851880535846	1	-2.33335687051772	5.44455428519225	1	-0.132067221989541	0.0174417511240347	1.00113197538871	4667.34817543999	0	1.00196749411344	11216.3539522043	0	NA	NA	NA	NA	NA	NA	NA	NA
2	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	1.94778318179415	3.49587041568378	700	252	420	700	700	252	491	0.64	0.298571428571429	7.43816416881979	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101001	0.7308	0.9982	1.58872130901271	-3.48758775879013	1.60324893991077	6.4899925945318	9.97758035332193	1.94020478783189	0.648655720407521	1.94356674110487	3.21015959316647	2.56150387275895	0.632988100484795	1.77774343255771	-9.09247440417306	1.6246815913161	12.2738623886456	21.3663367928187	0.0924	0.9933	3.22880695732092	0.758801549603193	3.14061319583386	6.23097078535289	5.4721692357497	0	NA	NA	NA	NA	NA	NA	1	-0.359061872781439	0.128925428485314	1	-0.00757839396225357	5.74320550471214e-05	1	-1.71812698312608	2.95196033014592	1	-0.267063458362865	0.0713228907927336	1.00164960418246	4566.76593044061	0	1.00230377469573	13118.4510640197	0	NA	NA	NA	NA	NA	NA	NA	NA
3	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	1.69942668251161	2.87330915045264	700	252	420	700	700	252	507	0.64	0.275714285714286	6.78056781034467	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101002	0.6357	0.9903	0.928162882629454	-4.40471514177306	0.942515819763481	6.22035015084131	10.6250652926144	1.51715371625778	0.262105981034504	1.52338646084435	2.77088309019178	2.50877710915728	0.584856396866841	1.12311258993755	-10.4316813663638	1.0763227128393	12.1256878431768	22.5573692095405	0.0808	0.8922	1.87102159138714	-0.965097775052808	1.89596496040362	4.67600993658932	5.64110771164213	0	NA	NA	NA	NA	NA	NA	1	-0.771263799882151	0.594847849008655	1	-0.182272966253822	0.0332234342269668	1	-1.75019656051509	3.06318800043884	1	-1.0022875590655	1.00458035105747	1.00204726752548	3885.49511811367	0	1.00175125389182	10131.626802544	0	NA	NA	NA	NA	NA	NA	NA	NA
4	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	2.74533932290725	5.31511889878517	700	252	420	700	700	252	481	0.64	0.312857142857143	7.55499096329062	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101003	0.7976	1	2.21263070392326	-2.96982012172024	2.28709725148656	7.0454421920905	10.0152623138107	3.28566713504592	2.00326591833557	3.29331197482647	4.55429596848593	2.55103005015037	0.719914443318699	2.96159514320971	-7.59653408636892	2.77794707486037	12.9660414234515	20.5625755098204	0.1117	1	6.90741134712977	3.2091636069766	6.67206414922055	10.8462239773674	7.63706037039084	0	NA	NA	NA	NA	NA	NA	1	-0.532708618983986	0.283778472739825	1	0.540327812138673	0.291954144570565	1	-2.35352375557546	5.53907406805802	1	1.5922924483446	2.53539524105523	1.00122494196733	4592.38990208644	0	1.00157116851156	6358.35603521665	0	NA	NA	NA	NA	NA	NA	NA	NA
5	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	1.87656255402765	3.36325687472505	700	252	420	700	700	252	494	0.64	0.294285714285714	7.39704472032841	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101004	0.7261	0.9985	1.51951576005363	-3.32109552764311	1.51853217921514	6.4430479633331	9.76414349097622	1.91695679337284	0.637857662420586	1.91298623645152	3.22800555590389	2.59014789348331	0.635443037974683	1.77000471285463	-8.68291971089253	1.62306249734355	12.0786799206894	20.7615996315819	0.0915	0.9971	3.428658404503	1.06202956176858	3.42319132325797	5.82978378343178	4.7677542216632	0	NA	NA	NA	NA	NA	NA	1	-0.357046793974024	0.127482413087129	1	0.0403942393451813	0.00163169457227579	1	-1.59325216187042	2.53845245130478	1	0.0654015297779553	0.00427736009729678	1.00165220535161	4438.37369475252	0	1.00158780544224	10974.4333299176	0	NA	NA	NA	NA	NA	NA	NA	NA
6	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	1.29207765886437	2.13632595238692	700	252	420	700	700	252	514	0.64	0.265714285714286	6.38085340682474	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101005	0.4917	0.6164	-0.0286129943511694	-5.29596963398226	-0.0454992393468565	5.23687914477055	10.5328487787528	0.18411897210912	-1.11884953540861	0.183014866374934	1.48448137859648	2.60333091400509	0.478111955474687	-0.151475863386329	-11.2590464463223	-0.247886806990115	10.8984718932733	22.1575183395956	0.0657	0.6938	0.703576195924086	-2.28793518374844	0.734651066238559	3.43372539581236	5.7216605795608	0	NA	NA	NA	NA	NA	NA	1	-1.32069065321554	1.74422380149088	1	-1.10795868675525	1.22757245155641	1	-2.28780181577325	5.23403714825536	1	-1.43274975646283	2.0527718646443	1.00202357964113	4642.36060851766	0	1.0027283653663	9756.69156590024	0	NA	NA	NA	NA	NA	NA	NA	NA
7	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	2.04802608141546	3.96396878772511	700	252	420	700	700	252	483	0.64	0.31	7.87692359171521	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101006	0.5997	0.9332	0.6110727766293	-4.49208820421996	0.671914185446001	5.61987026336859	10.1119584675886	0.985360575063443	-0.312631543258023	0.986777640650609	2.25831920040622	2.57095074366425	0.572515666965085	0.916138239132649	-9.99722107578153	0.891462616376053	11.5149067561644	21.512127831946	0.1064	0.9518	2.61937694716759	-0.376284020184297	2.50144156103529	6.00708575359804	6.38336977378234	0	NA	NA	NA	NA	NA	NA	1	-1.43695330478616	2.06483480013587	1	-1.06266550635202	1.12925797839039	1	-3.04783054859246	9.2892710529334	1	-1.34459184055752	1.80792721769385	1.00223400013332	4497.18727105221	0	1.00112216327506	13615.78156438	0	NA	NA	NA	NA	NA	NA	NA	NA
8	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	1.29982501154328	2.00411915973229	700	252	420	700	700	252	495	0.64	0.292857142857143	6.8916672034224	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101007	0.5707	0.9822	0.49126892210067	-4.87264401199625	0.50824863565621	5.85387811745309	10.7265221294493	1.39055066214223	0.089627496799673	1.40104568659818	2.64902938511771	2.55940188831804	0.545008183306056	0.672855315184093	-10.8291167076247	0.554022418843212	11.9411216130379	22.7702383206626	0.0835	0.9809	2.64220288933682	0.133338801541168	2.68575504229264	4.90733625556992	4.77399745402875	0	NA	NA	NA	NA	NA	NA	1	-0.808556089442608	0.653762949774723	1	0.0907256505989562	0.00823114367660388	1	-1.3312638445482	1.77226342380126	1	0.638083729604524	0.40715084598602	1.00159120736106	4287.80204779081	0	1.0018662492434	11138.2594020444	0	NA	NA	NA	NA	NA	NA	NA	NA
9	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	2.31000253873566	4.37613653703167	700	252	420	700	700	252	497	0.64	0.29	7.64016566437264	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101008	0.7531	0.9999	1.77266383555281	-3.24202533581055	1.81945580725536	6.57772548759994	9.8197508234105	2.50856025824464	1.25580717093979	2.51534822660511	3.72959115521178	2.47378398427199	0.666961619289902	2.15886067672046	-8.67938064264727	2.13714181477475	12.3413166317337	21.020697274381	0.0959	0.9997	3.92780459975416	1.56143943300718	3.81211402704334	6.78341168084	5.22197224783283	0	NA	NA	NA	NA	NA	NA	1	-0.537338703182846	0.288732881938223	1	0.198557719508983	0.0394251679766079	1	-2.21727586031121	4.91631224071882	1	-0.448331937277514	0.201001525983009	1.00184111231028	4231.94228601808	0	1.00136204840844	10622.9480717129	0	NA	NA	NA	NA	NA	NA	NA	NA
10	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	constant	benefit	1	1	NA	2.0816311919332	4.16237436094498	700	252	420	700	700	252	463	0.64	0.338571428571429	7.44467944634801	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101009	0.7882	1	2.00075630470904	-3.19089992466669	2.05724764374206	6.78253612742636	9.97343605209305	2.87588616082162	1.54482067946153	2.8801701352223	4.20676104042528	2.66194036096375	0.689693593314763	2.49641263657772	-8.2899319427999	2.39109054334368	12.5992307865389	20.8891627293388	0.1025	1	6.84962281806583	3.8968651786367	6.68087127596154	10.7169182871729	6.8200531085362	2e-04	NA	NA	NA	NA	NA	NA	1	-0.0808748872241556	0.00654074738351988	1	0.794254968888419	0.630840955603943	1	-1.66596172436726	2.77542846705673	1	2.68724845712085	7.22130427029837	1.0012772641472	4131.29831626516	0	1.00135865087339	11415.0565587708	0	NA	NA	NA	NA	NA	NA	NA	NA
