rep	prior_id	scenario_id	prior_label	design_prior_type	prior_family	omega_D	profile	component	component_id	H_D	true_delta_rmst_lookup	true_delta_rmst_rep	true_delta_med_rep	N_planned	K1	K2	n_interim	n_final	events_interim	events_final	censor_rate_interim	censor_rate_final	calendar_cutoff_interim	calendar_cutoff_final	tau	delta_star	a0_gp	grid_width_gp	B0_median_pfs	chains	parallel_chains	iter_warmup	iter_sampling	thin	adapt_delta	max_treedepth	n_saved_draws	cmdstan_seed	Pi1	Pi2_cf	post_mean_1	post_q025_1	post_q500_1	post_q975_1	post_width_1	post_mean_2	post_q025_2	post_q500_2	post_q975_2	post_width_2	Pi_beneficial_med_1	post_mean_med_1	post_q025_med_1	post_q500_med_1	post_q975_med_1	post_width_med_1	na_rate_med_1	Pi_beneficial_med_2	post_mean_med_2	post_q025_med_2	post_q500_med_2	post_q975_med_2	post_width_med_2	na_rate_med_2	cover_lookup_1	bias_lookup_1	sqerr_lookup_1	cover_lookup_2	bias_lookup_2	sqerr_lookup_2	cover_rep_1	bias_rep_1	sqerr_rep_1	cover_rep_2	bias_rep_2	sqerr_rep_2	cover_med_rep_1	bias_med_rep_1	sqerr_med_rep_1	cover_med_rep_2	bias_med_rep_2	sqerr_med_rep_2	max_Rhat_1	min_ESS_1	n_divergent_1	max_Rhat_2	min_ESS_2	n_divergent_2	post_eta_PH_trt_mean_1	post_eta_PH_trt_q025_1	post_eta_PH_trt_q500_1	post_eta_PH_trt_q975_1	post_eta_PH_trt_mean_2	post_eta_PH_trt_q025_2	post_eta_PH_trt_q500_2	post_eta_PH_trt_q975_2
1	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	increasing	benefit	1	1	NA	1.8590003095072	3.46089269009435	1000	360	600	1000	1000	360	701	0.64	0.299	6.83561194445702	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101000	0.5681	0.9964	0.459693137185384	-4.95425700800706	0.445930640571485	5.80931659694414	10.7635736049512	1.54674558821618	0.469887022478559	1.54684927646782	2.61714518253724	2.14725816005868	0.53061666847296	0.480853324889628	-10.970060714006	0.453963359272528	11.8705180682085	22.8405787822145	0.0773	0.951	2.81044647204539	-0.573282788665696	2.72811151405364	6.67683059742227	7.25011338608797	0	NA	NA	NA	NA	NA	NA	1	-1.39930717232182	1.95806056251128	1	-0.312254721291025	0.0975030109685359	1	-2.98003936520472	8.88063461816975	1	-0.65044621804896	0.423080282574195	1.00208714918807	4774.92208330174	0	1.00333716379483	9510.84186217388	0	NA	NA	NA	NA	NA	NA	NA	NA
2	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	increasing	benefit	1	1	NA	1.60040999249706	3.11700494624651	1000	360	600	1000	1000	360	698	0.64	0.302	6.20344724948549	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101001	0.5418	0.9479	0.295254333045008	-4.71153309931229	0.271144905694853	5.30624430532253	10.0177774046348	0.931851367378733	-0.186500801339522	0.925946691122351	2.06455222153764	2.25105302287716	0.541306386081884	0.550533295255803	-10.1034664658757	0.457536466637151	11.4113321259715	21.5147985918472	0.0401	0.6768	0.724009874006103	-1.87332430425724	0.62679052727312	3.90579301406285	5.77911731832008	0	NA	NA	NA	NA	NA	NA	1	-1.30515565945205	1.70343129539972	1	-0.668558625118326	0.446970635220107	1	-2.5664716509907	6.58677673533895	1	-2.3929950722404	5.72642541576686	1.00205854383469	4276.5589366544	0	1.00172349130473	6904.10765531023	0	NA	NA	NA	NA	NA	NA	NA	NA
3	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	increasing	benefit	1	1	NA	2.1519561551016	4.38944865832761	1000	360	600	1000	1000	360	690	0.64	0.31	7.39891490471358	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101002	0.7622	1	1.78511971937755	-3.24481837143469	1.86669316860136	6.58797826195624	9.83279663339093	2.93261321555802	1.8962241543539	2.94171150813156	3.96729666982921	2.07107251547531	0.694945249419312	2.56680734503987	-8.32419961762443	2.4745393227439	12.7387980132	21.0629976308245	0.0959	1	5.87564226140932	3.28329102564313	5.90248369243928	8.41425193798669	5.13096091234356	0	NA	NA	NA	NA	NA	NA	1	-0.366836435724057	0.134568970574731	1	0.780657060456415	0.609425446040451	1	-1.82264131328775	3.32202135690328	1	1.48619360308171	2.208771425841	1.00192370435087	4532.35353591678	0	1.00146347558766	12265.9409129775	0	NA	NA	NA	NA	NA	NA	NA	NA
4	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	increasing	benefit	1	1	NA	1.59824800359731	2.59743012269836	1000	360	600	1000	1000	360	681	0.64	0.319	7.11996117879506	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101003	0.5768	0.9924	0.476750093184066	-4.4849152924553	0.509526283093112	5.47886535331226	9.96378064576756	1.36144566721052	0.263985079994327	1.35995571127427	2.46573435372299	2.20174927372866	0.558714596949891	0.752871478742894	-9.98581903213529	0.751695326776978	11.430005516848	21.4158245489833	0.082	0.9311	2.29466708293586	-0.710931673147804	2.17173794888077	6.2771852416096	6.9881169147574	0	NA	NA	NA	NA	NA	NA	1	-1.12149791041325	1.25775756306128	1	-0.236802336386797	0.0560753465182458	1	-1.84455864395547	3.40239659099083	1	-0.302763039762497	0.0916654582462273	1.00148334219331	4492.74723942991	0	1.00133412075568	15811.1249809595	0	NA	NA	NA	NA	NA	NA	NA	NA
5	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	increasing	benefit	1	1	NA	1.66413943802437	3.28391488163448	1000	360	600	1000	1000	360	681	0.64	0.319	6.86352818971936	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101004	0.6593	1	1.11901312376474	-4.32085198114041	1.12559742261886	6.45938871188143	10.7802406930218	2.72738366803116	1.64138671093141	2.73218470250015	3.81351933768396	2.17213262675255	0.613668516704756	1.56940142314313	-9.54123359555889	1.50981636869927	12.515300618382	22.0565342139409	0.0811	1	6.34731958737734	3.43833922106454	6.38985776183321	8.97984620554688	5.54150698448234	0	NA	NA	NA	NA	NA	NA	1	-0.545126314259636	0.297162698498296	1	1.06324423000679	1.13048829264272	1	-1.71451345849135	2.93955639934797	0	3.06340470574286	9.3844483911675	1.00190355097492	4411.34095337738	0	1.00183815614821	10081.5838091092	0	NA	NA	NA	NA	NA	NA	NA	NA
6	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	increasing	benefit	1	1	NA	2.15639355586862	4.20989166753548	1000	360	600	1000	1000	360	695	0.64	0.305	7.57554414060308	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101005	0.6662	1	1.06974794689614	-3.82559787901508	1.09881985069129	5.84656471902029	9.67216259803537	2.48359019944975	1.42511657602049	2.48662113574505	3.5370780719189	2.11196149589841	0.590565002742732	1.17552270278533	-9.53260491964935	1.10225008897031	11.7966456129508	21.3292505326002	0.0885	0.9992	4.49600971201076	1.73561467857552	4.45968367511566	7.24379712783802	5.5081824492625	0	NA	NA	NA	NA	NA	NA	1	-1.08664560897248	1.18079867949917	1	0.327196643581132	0.107057643570758	1	-3.03436896475015	9.20739501423891	1	0.286118044475286	0.0818635353743616	1.00162301840828	4720.13917286237	0	1.00196371801034	12856.85659295	0	NA	NA	NA	NA	NA	NA	NA	NA
7	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	increasing	benefit	1	1	NA	2.00865873576872	4.22812654376989	1000	360	600	1000	1000	360	665	0.64	0.335	6.74697666364746	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101006	0.7075	1	1.47360356758296	-3.88016297524873	1.54286464532431	6.66946708201616	10.5496300572649	2.89990477382392	1.78693687779451	2.89958375148002	3.99619591891959	2.20925904112508	0.627731643356643	1.91400721871701	-9.61774827466843	1.87174708502627	12.8839613745405	22.501709649209	0.0848	1	7.31802254221061	4.46478027785887	7.4414973171678	9.8432892740031	5.37850899614423	0	NA	NA	NA	NA	NA	NA	1	-0.535055168185766	0.286284033002298	1	0.891246038055194	0.79431950034908	1	-2.31411932505289	5.35514825058322	0	3.08989599844072	9.54745728117998	1.00182582581591	4718.41965643901	0	1.00219280608227	10931.201474083	0	NA	NA	NA	NA	NA	NA	NA	NA
8	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	increasing	benefit	1	1	NA	1.76147117276168	3.01751131611227	1000	360	600	1000	1000	360	694	0.64	0.306	7.05385761984008	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101007	0.6499	0.999	0.908499039796657	-3.98688344925886	0.964010753688588	5.57774087126739	9.56462432052625	1.65086867973691	0.562268487368506	1.65006846134094	2.73342201953003	2.17115353216152	0.634810126582279	1.65203820407138	-8.98013920394593	1.48472209361313	12.1423166925115	21.1224558964574	0.052	0.9892	2.52766001843236	0.397068635094142	2.50941409173687	4.83976452812466	4.44269589303052	0	NA	NA	NA	NA	NA	NA	1	-0.852972132965019	0.727561459614894	1	-0.11060249302476	0.0122329114632922	1	-1.36547311204089	1.86451681970663	1	-0.489851297679907	0.239954293838689	1.00154019559384	4299.54267171935	0	1.00110466211453	11666.2557331783	0	NA	NA	NA	NA	NA	NA	NA	NA
9	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	increasing	benefit	1	1	NA	2.27163529485699	4.79676094502124	1000	360	600	1000	1000	360	659	0.64	0.341	7.56294589956925	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101008	0.5897	0.9969	0.542763691431303	-4.5860194863155	0.582986982661963	5.48122590987567	10.0672453961912	1.45507513352808	0.365186857657417	1.45417680773954	2.56689557526822	2.2017087176108	0.556519804183356	0.750679042709409	-10.037511237275	0.756734045271962	11.2186044253549	21.2561156626299	0.1012	0.9808	3.20496181219969	0.129361597723102	2.9858292522279	6.84828257645305	6.71892097872995	0	NA	NA	NA	NA	NA	NA	1	-1.72887160342569	2.98899702113171	1	-0.816560161328912	0.666770497069498	1	-4.04608190231183	16.3707787602153	1	-1.59179913282155	2.53382447925144	1.00155219427692	4784.41639305981	0	1.00184949188255	12472.4983652269	0	NA	NA	NA	NA	NA	NA	NA	NA
10	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	increasing	benefit	1	1	NA	1.92552635192885	4.05591689302936	1000	360	600	1000	1000	360	692	0.64	0.308	6.21179286802812	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101009	0.6193	1	0.764749273177194	-4.34567884923692	0.785598662403611	5.76451873313094	10.1101975823679	2.13965901507706	1.05838635712374	2.14420511597442	3.23953856818987	2.18115221106614	0.606245400063085	1.39812427861297	-9.54247793229339	1.24469982169147	12.060159551336	21.6026374836294	0.0489	0.9989	5.11731557899737	2.29446185447906	5.152172601303	7.72884040758588	5.43437855310682	0	NA	NA	NA	NA	NA	NA	1	-1.16077707875166	1.34740342655524	1	0.214132663148206	0.0458527974269432	1	-2.65779261441639	7.06386158124632	1	1.06139868596801	1.12656717057461	1.00132716591095	4448.44257464426	0	1.00151647106335	10678.2077188607	0	NA	NA	NA	NA	NA	NA	NA	NA
