rep	prior_id	scenario_id	prior_label	design_prior_type	prior_family	omega_D	profile	component	component_id	H_D	true_delta_rmst_lookup	true_delta_rmst_rep	true_delta_med_rep	N_planned	K1	K2	n_interim	n_final	events_interim	events_final	censor_rate_interim	censor_rate_final	calendar_cutoff_interim	calendar_cutoff_final	tau	delta_star	a0_gp	grid_width_gp	B0_median_pfs	chains	parallel_chains	iter_warmup	iter_sampling	thin	adapt_delta	max_treedepth	n_saved_draws	cmdstan_seed	Pi1	Pi2_cf	post_mean_1	post_q025_1	post_q500_1	post_q975_1	post_width_1	post_mean_2	post_q025_2	post_q500_2	post_q975_2	post_width_2	Pi_beneficial_med_1	post_mean_med_1	post_q025_med_1	post_q500_med_1	post_q975_med_1	post_width_med_1	na_rate_med_1	Pi_beneficial_med_2	post_mean_med_2	post_q025_med_2	post_q500_med_2	post_q975_med_2	post_width_med_2	na_rate_med_2	cover_lookup_1	bias_lookup_1	sqerr_lookup_1	cover_lookup_2	bias_lookup_2	sqerr_lookup_2	cover_rep_1	bias_rep_1	sqerr_rep_1	cover_rep_2	bias_rep_2	sqerr_rep_2	cover_med_rep_1	bias_med_rep_1	sqerr_med_rep_1	cover_med_rep_2	bias_med_rep_2	sqerr_med_rep_2	max_Rhat_1	min_ESS_1	n_divergent_1	max_Rhat_2	min_ESS_2	n_divergent_2	post_eta_PH_trt_mean_1	post_eta_PH_trt_q025_1	post_eta_PH_trt_q500_1	post_eta_PH_trt_q975_1	post_eta_PH_trt_mean_2	post_eta_PH_trt_q025_2	post_eta_PH_trt_q500_2	post_eta_PH_trt_q975_2
1	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	2.4116064329918	4.6450712804116	700	252	420	700	700	252	513	0.64	0.267142857142857	7.12098151511336	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101000	0.6124	0.9245	0.715441803010916	-4.32988091434377	0.735450083579625	5.62664454705129	9.95652546139506	0.953153840516736	-0.363359729986858	0.95309695153607	2.25996563167328	2.62332536166013	0.574931581828134	0.996587034897653	-9.82534101756763	0.961962387111226	11.9396093133398	21.7649503309075	0.0865	0.9364	2.04406860461223	-0.565613542336097	2.01786241158482	4.78071869162207	5.34633223395817	0	NA	NA	NA	NA	NA	NA	1	-1.69616462998089	2.8769744519982	0	-1.45845259247507	2.12708396449724	1	-3.64848424551395	13.3114372897635	1	-2.60100267579937	6.76521491951547	1.00205327912278	4532.63714867551	0	1.00182015846574	13378.9810986325	0	NA	NA	NA	NA	NA	NA	NA	NA
2	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	2.04289019740172	3.83203583145144	700	252	420	700	700	252	507	0.64	0.275714285714286	7.17526094649794	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101001	0.7526	0.9995	1.68460518675076	-3.41495395889359	1.74705410877126	6.4885496273561	9.9035035862497	2.08341216414423	0.827601927385114	2.08151731809504	3.35353920858719	2.52593728120207	0.674142623843223	2.2285876158899	-8.60838771120375	2.09585750737389	12.4941872598586	21.1025749710623	0.0815	0.9952	3.7502268574281	0.818593371392737	3.63795216992975	6.88328377300469	6.06469040161195	0	NA	NA	NA	NA	NA	NA	1	-0.358285010650965	0.128368148857162	1	0.0405219667425065	0.0016420297886808	1	-1.60344821556153	2.57104617998746	1	-0.081808974023339	0.00669270823075135	1.00126464204561	4121.29988894628	0	1.00151976975267	10162.6549350202	0	NA	NA	NA	NA	NA	NA	NA	NA
3	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	2.30690849101754	4.23431436234689	700	252	420	700	700	252	491	0.64	0.298571428571429	7.34196644397731	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101002	0.8232	1	2.30882557551946	-2.69940501805385	2.39649366544226	7.03887488951175	9.73827990756559	2.91597712023431	1.65399277870537	2.9165948945962	4.17202604176385	2.51803326305848	0.77140035118525	3.55613490056106	-6.95431357699821	3.39918787104047	13.3857508773903	20.3400644543885	0.0888	1	5.93509112475293	3.14740551792781	5.81632978490746	8.98323501484895	5.83582949692114	0	NA	NA	NA	NA	NA	NA	1	0.00191708450191719	3.67521298749107e-06	1	0.609068629216769	0.370964595095994	1	-0.678179461785827	0.459927382388114	1	1.70077676240604	2.89264159554038	1.00244548008863	4829.07182774194	0	1.00154605853655	6645.89707147433	0	NA	NA	NA	NA	NA	NA	NA	NA
5	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	2.5793346480998	5.16691029660886	700	252	420	700	700	252	484	0.64	0.308571428571429	8.53257108911775	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101004	0.7663	1	1.69357065233659	-3.06492745452307	1.74089921541888	6.2436815186163	9.30860897313937	2.55153849030744	1.30633490558975	2.55095819575856	3.78659351673839	2.48025861114864	0.653176576983948	1.95662479691147	-8.37791909894283	1.90132888132922	11.6781163491558	20.0560354480986	0.1154	1	4.64369687500192	2.27668798741581	4.60377537863651	7.3012153668764	5.02452737946058	0	NA	NA	NA	NA	NA	NA	1	-0.88576399576321	0.784577856190408	1	-0.0277961577923542	0.000772626388017455	1	-3.21028549969739	10.3059329895673	1	-0.523213421606942	0.273752284549644	1.00172385980012	4963.95537518954	0	1.00166072504274	10012.3734471925	0	NA	NA	NA	NA	NA	NA	NA	NA
4	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	1.95882336558594	3.43140992802505	700	252	420	700	700	252	501	0.64	0.284285714285714	7.29126201171817	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101003	0.7527	0.9993	1.72017556487275	-3.25087386213655	1.75190726873364	6.48774088147259	9.73861474360915	2.1650688360251	0.913046578633427	2.16920420308088	3.43397828427067	2.52093170563725	0.693648545593202	2.46479260509982	-8.0308808394541	2.26034984719615	12.552079013563	20.582959853017	0.0821	0.9989	4.76849536883676	2.06791361295827	4.7770996682572	7.68570931295103	5.61779569999276	0	NA	NA	NA	NA	NA	NA	1	-0.238647800713194	0.0569527727852443	1	0.206245470439153	0.0425371940766673	1	-0.966617322925227	0.934349048979133	1	1.33708544081172	1.78779747603066	1.001467215322	4909.89468953207	0	1.00164660909816	12105.809218022	0	NA	NA	NA	NA	NA	NA	NA	NA
6	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	2.12280713696977	4.18490942221287	700	252	420	700	700	252	496	0.64	0.291428571428571	7.72312316688586	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101005	0.7794	1	1.99741229485043	-3.2746943974764	2.0585330874917	6.85524643491591	10.1299408323923	2.6727305390862	1.40819557912613	2.66934322272255	3.91723639331156	2.50904081418543	0.667717954494255	2.29785916075921	-8.68543298413204	2.24911675061262	12.5552417113907	21.2406746955227	0.1122	1	5.22112657776347	2.85475512209011	5.16120037929237	8.1179050185826	5.26314989649249	0	NA	NA	NA	NA	NA	NA	1	-0.12539484211934	0.0157238664301343	1	0.549923402116427	0.302415748195306	1	-1.88705026145366	3.56095868925231	1	1.03621715555061	1.07374599345739	1.00144298210072	4782.32529447121	0	1.00197512217484	11316.7884688752	0	NA	NA	NA	NA	NA	NA	NA	NA
7	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	2.36721112095315	4.60134953584297	700	252	420	700	700	252	487	0.64	0.304285714285714	7.26951428137297	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101006	0.7057	1	1.34999588608285	-3.66484169108973	1.38284343503295	6.20125443392453	9.86609612501426	2.50324646395858	1.22748437178902	2.51029724276336	3.76859308085283	2.54110870906381	0.615308479049819	1.56242076874181	-9.16181286782652	1.41171546482249	11.9928468027509	21.1546596705774	0.0907	0.9997	6.37795641782166	3.59980761912545	6.41717228368378	8.6292614589421	5.02945383981664	0	NA	NA	NA	NA	NA	NA	1	-1.01721523487031	1.03472683405226	1	0.136035343005429	0.0185056145466047	1	-3.03892876710115	9.23508805151494	1	1.77660688197869	3.15633201309405	1.00095273197693	4674.51201657937	0	1.00230539539296	6529.48888925278	0	NA	NA	NA	NA	NA	NA	NA	NA
8	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	1.90911653409483	4.08583141248026	700	252	420	700	700	252	485	0.64	0.307142857142857	7.40348699131555	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101007	0.741	0.9954	1.62712079027241	-3.38898446843695	1.69881598821498	6.40250993322508	9.79149440166203	1.79752372174135	0.453434358508225	1.80237588156592	3.13398015063644	2.68054579212822	0.702227560602752	2.65189791633894	-7.85723844759675	2.50482405222786	12.9159262913329	20.7731647389297	0.0842	0.974	3.79292534528041	-0.0379421104397499	3.78482275858102	7.54729932232393	7.58524143276368	0	NA	NA	NA	NA	NA	NA	1	-0.281995743822423	0.0795215995339614	1	-0.111592812353482	0.0124529557689594	1	-1.43393349614132	2.05616527135606	1	-0.292906067199849	0.0857939642024825	1.00124670678656	4591.65137501087	0	1.00163643364849	10488.6182350064	0	NA	NA	NA	NA	NA	NA	NA	NA
9	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	2.1932332341584	4.08254020884571	700	252	420	700	700	252	501	0.64	0.284285714285714	8.01930397207008	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101008	0.8478	0.9956	2.50171527302368	-2.19385632650581	2.53541206833836	7.02117317856677	9.21502950507258	1.64986567799986	0.397679851660685	1.65488446737754	2.91121357579071	2.51353372413002	0.893290734824281	4.28352625017286	-3.91564536586046	3.70377340466784	13.6828679952845	17.598513361145	0.061	0.9893	3.7911816566637	0.483105789062289	3.91391618268252	6.47193678940706	5.98883100034477	0	NA	NA	NA	NA	NA	NA	1	0.308482038865286	0.0951611683024837	1	-0.543367556158537	0.295248301085701	1	0.200986041327154	0.0403953888083606	1	-0.291358552182007	0.084889805929595	1.00156571515121	4772.05440574154	0	1.00147038811272	9571.020602661	0	NA	NA	NA	NA	NA	NA	NA	NA
10	7	7	benefit_positive_truncnorm	benefit_positive_truncnorm	continuous	1	waning	benefit	1	1	NA	1.90320936063582	3.5918756537143	700	252	420	700	700	252	501	0.64	0.284285714285714	6.97503980301893	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101009	0.7108	1	1.53832897271132	-3.87248737187643	1.57765614649477	6.78908470947226	10.6615720813487	2.63367447671125	1.34868794655884	2.63934088793764	3.85859480932741	2.50990686276858	0.625343444334542	1.82585356791161	-9.56680536939526	1.75335312333888	12.9553742739512	22.5221796433464	0.0901	0.9999	4.69099015587039	2.55499518389242	4.58049951316703	7.30968631627318	4.75469113238076	0	NA	NA	NA	NA	NA	NA	1	-0.364880387924494	0.13313769749193	1	0.730465116075427	0.533579285803087	1	-1.76602208580269	3.11883400754289	1	1.09911450215608	1.20805268884981	1.00189519150123	4345.47286175769	0	1.00179792877256	9717.96267242747	0	NA	NA	NA	NA	NA	NA	NA	NA
