rep	prior_id	scenario_id	prior_label	design_prior_type	prior_family	omega_D	profile	component	component_id	H_D	true_delta_rmst_lookup	true_delta_rmst_rep	true_delta_med_rep	N_planned	K1	K2	n_interim	n_final	events_interim	events_final	censor_rate_interim	censor_rate_final	calendar_cutoff_interim	calendar_cutoff_final	tau	delta_star	a0_gp	grid_width_gp	B0_median_pfs	chains	parallel_chains	iter_warmup	iter_sampling	thin	adapt_delta	max_treedepth	n_saved_draws	cmdstan_seed	Pi1	Pi2_cf	post_mean_1	post_q025_1	post_q500_1	post_q975_1	post_width_1	post_mean_2	post_q025_2	post_q500_2	post_q975_2	post_width_2	Pi_beneficial_med_1	post_mean_med_1	post_q025_med_1	post_q500_med_1	post_q975_med_1	post_width_med_1	na_rate_med_1	Pi_beneficial_med_2	post_mean_med_2	post_q025_med_2	post_q500_med_2	post_q975_med_2	post_width_med_2	na_rate_med_2	cover_lookup_1	bias_lookup_1	sqerr_lookup_1	cover_lookup_2	bias_lookup_2	sqerr_lookup_2	cover_rep_1	bias_rep_1	sqerr_rep_1	cover_rep_2	bias_rep_2	sqerr_rep_2	cover_med_rep_1	bias_med_rep_1	sqerr_med_rep_1	cover_med_rep_2	bias_med_rep_2	sqerr_med_rep_2	max_Rhat_1	min_ESS_1	n_divergent_1	max_Rhat_2	min_ESS_2	n_divergent_2	post_eta_PH_trt_mean_1	post_eta_PH_trt_q025_1	post_eta_PH_trt_q500_1	post_eta_PH_trt_q975_1	post_eta_PH_trt_mean_2	post_eta_PH_trt_q025_2	post_eta_PH_trt_q500_2	post_eta_PH_trt_q975_2
14	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	700	252	420	700	700	252	528	0.64	0.245714285714286	6.38218470212756	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101013	0.6961	0.5435	1.40197720337698	-3.91158045355729	1.44189440039219	6.56305924075162	10.4746396943089	0.0726215611248579	-1.22174777885493	0.0707432170494302	1.34195708446423	2.56370486331917	0.655127929477532	2.06888006569525	-9.03514672817462	1.92955094005811	12.8642534515825	21.8994001797572	0.0698	0.563	0.247209643746821	-2.10027703846817	0.192991678685797	2.63651800405948	4.73679504252765	0	NA	NA	NA	NA	NA	NA	1	1.40197720337698	1.96554007878875	1	0.0726215611248579	0.00527389114021148	1	2.06888006569525	4.28026472623116	1	0.247209643746821	0.0611126079614304	1.00114685269002	4572.73230891907	0	1.00171794261041	11532.8279415436	0	NA	NA	NA	NA	NA	NA	NA	NA
17	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	700	252	420	700	700	252	521	0.64	0.255714285714286	6.42423736271211	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101016	0.5393	0.2922	0.228461533626788	-4.98288284542555	0.24867173641723	5.22869241013997	10.2115752555655	-0.352049635750928	-1.60559275813648	-0.348684609600113	0.921984370057568	2.52757712819405	0.535084033613445	0.452153020108222	-10.5529901496626	0.441330456479453	11.2529758392228	21.8059659888853	0.048	0.2603	-0.670057766799191	-2.77352223329454	-0.753335402150476	1.86233334372401	4.63585557701855	0	NA	NA	NA	NA	NA	NA	1	0.228461533626788	0.0521946723471039	1	-0.352049635750928	0.123938946032361	1	0.452153020108222	0.204442353592986	1	-0.670057766799191	0.448977410847919	1.00130174829622	4654.86164870317	0	1.00122273663389	10156.5397747159	0	NA	NA	NA	NA	NA	NA	NA	NA
4	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	700	252	420	700	700	252	509	0.64	0.272857142857143	6.45773371725928	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101003	0.4558	0.6267	-0.289172289302851	-5.47337883415337	-0.305937585681596	4.92944192191111	10.4028207560645	0.207799991087149	-1.08057992468915	0.215284321431531	1.47887676257292	2.55945668726208	0.475355144210073	-0.340748818325128	-11.8294435418857	-0.319413458404154	11.0892970750571	22.9187406169428	0.0708	0.7728	1.22140531821248	-1.61086408485243	1.16516852035426	4.06071690606334	5.67158099091577	0	NA	NA	NA	NA	NA	NA	1	-0.289172289302851	0.0836206129006519	1	0.207799991087149	0.0431808362958193	1	-0.340748818325128	0.116109757189971	1	1.22140531821248	1.49183095135772	1.00106765795601	4837.30870238492	0	1.00173843582489	9587.69733270317	0	NA	NA	NA	NA	NA	NA	NA	NA
15	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	700	252	420	700	700	252	529	0.64	0.244285714285714	6.25510836208174	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101014	0.6592	0.9574	1.14328946806067	-4.24467146893361	1.17906152337578	6.33508946588224	10.5797609348158	1.14516783769687	-0.158530508316298	1.14471677950157	2.46219176037933	2.62072226869563	0.65382574551629	2.02140461225671	-8.7492797539082	1.83879113175698	12.7250124513426	21.4742922052508	0.0577	0.9744	2.6567622809415	-0.0188893110451048	2.68120382725594	5.09737069837504	5.11626000942015	0	NA	NA	NA	NA	NA	NA	1	1.14328946806067	1.30711080777845	1	1.14516783769687	1.31140937649531	1	2.02140461225671	4.08607660645272	1	2.6567622809415	7.0583858174335	1.00103323507959	4202.52500231096	0	1.00181344305137	14452.437814077	0	NA	NA	NA	NA	NA	NA	NA	NA
16	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	700	252	420	700	700	252	536	0.64	0.234285714285714	5.6791959914577	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101015	0.504	0.7078	0.0523320774380652	-5.57729327250122	0.0317729054661191	5.693181920025	11.2704751925262	0.359831851756677	-0.913357140591377	0.357867343451619	1.63732149239045	2.55067863298182	0.503016830739917	0.123869457290731	-11.4125362972155	0.0491507320292541	11.7416857163207	23.1542220135363	0.0553	0.8818	0.89344087759657	-0.754067820444661	0.912469306023661	2.38414074672597	3.13820856717063	0	NA	NA	NA	NA	NA	NA	1	0.0523320774380652	0.00273864632898365	1	0.359831851756677	0.129478961538639	1	0.123869457290731	0.0153436424495003	1	0.89344087759657	0.798236601760529	1.00130247740326	4564.68114716289	0	1.00195763441973	6497.20493130652	0	NA	NA	NA	NA	NA	NA	NA	NA
13	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	700	252	420	700	700	252	520	0.64	0.257142857142857	5.96269896467271	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101012	0.4397	0.3169	-0.432204850707927	-6.03907932611323	-0.421038819363227	5.31588856041854	11.3549678865318	-0.315183039632473	-1.62593948526085	-0.313428664905696	0.987103311363342	2.61304279662419	0.457106274007682	-0.592326636645849	-12.2816186336629	-0.544213280926863	11.5163172301218	23.7979358637847	0.0628	0.2833	-0.787915840829136	-3.45667577219797	-0.873728414980476	1.95544374613289	5.41211951833086	0	NA	NA	NA	NA	NA	NA	1	-0.432204850707927	0.186801032975462	1	-0.315183039632473	0.0993403484719651	1	-0.592326636645849	0.350850844480184	1	-0.787915840829136	0.620811372229484	1.00162942223304	4391.1859448659	0	1.00108112447323	7090.55968294777	0	NA	NA	NA	NA	NA	NA	NA	NA
1	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	700	252	420	700	700	252	520	0.64	0.257142857142857	6.63975628782947	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101000	0.5652	0.662	0.461334333951949	-4.80345840516772	0.454461230201809	5.66184497013906	10.4653033753068	0.271534686349217	-1.0018530789216	0.272976182000256	1.53072978595396	2.53258286487556	0.543244406196213	0.647959221744983	-11.0146114316137	0.579890286732695	11.9622494563625	22.9768608879762	0.0704	0.6484	0.479114423650354	-1.94652761177018	0.44254691622545	2.93377424600232	4.88030185777249	0	NA	NA	NA	NA	NA	NA	1	0.461334333951949	0.212829367682888	1	0.271534686349217	0.0737310858907676	1	0.647959221744983	0.419851153044364	1	0.479114423650354	0.229550630949811	1.00250908271996	4492.78236566305	0	1.00221004186968	6871.43654700949	0	NA	NA	NA	NA	NA	NA	NA	NA
52	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	700	252	420	700	700	252	520	0.64	0.257142857142857	6.51983018102628	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101051	0.3833	0.1842	-0.782516378771797	-5.87223068326061	-0.779145711345545	4.23894242131901	10.1111731045796	-0.571255815340208	-1.82451311309546	-0.574572541567004	0.718588944890711	2.54310205798617	0.432023847546045	-0.904922289478146	-11.8823243891883	-0.818924589433833	10.2193183950029	22.1016427841912	0.0607	0.2043	-1.08195164205488	-3.69625019728691	-1.0258973335908	1.32384774383314	5.02009794112005	0	NA	NA	NA	NA	NA	NA	1	-0.782516378771797	0.612331883046126	1	-0.571255815340208	0.326333206560006	1	-0.904922289478146	0.818884349994369	1	-1.08195164205488	1.17061935574526	1.00206727306518	4432.63614246182	0	1.0019824373855	10652.863991769	0	NA	NA	NA	NA	NA	NA	NA	NA
49	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	700	252	420	700	700	252	521	0.64	0.255714285714286	7.32187385594273	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101048	0.4416	0.2349	-0.385849057764608	-5.28657700800707	-0.407002023168793	4.65996979203551	9.94654680004258	-0.469682705818018	-1.72178865219442	-0.465338966928391	0.801905688991936	2.52369434118636	0.458539264140582	-0.532449072810469	-11.1574545180793	-0.5017117029582	10.2119348215827	21.3693893396619	0.0895	0.1332	-1.21289827570148	-3.3748291563232	-1.22943723456975	1.18198279662048	4.55681195294368	0	NA	NA	NA	NA	NA	NA	1	-0.385849057764608	0.148879495377836	1	-0.469682705818018	0.220601844144535	1	-0.532449072810469	0.283502015136728	1	-1.21289827570148	1.47112222719963	1.00121622438911	4363.26430764075	0	1.00145579503927	10093.6774372376	0	NA	NA	NA	NA	NA	NA	NA	NA
27	3	3	exact_null_point_mass	exact_null_point_mass	point_mass	0	none	no_benefit	0	0	NA	0	0	700	252	420	700	700	252	516	0.64	0.262857142857143	6.18608627447874	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101026	0.4427	0.0843	-0.360325016792587	-5.50600433182211	-0.374709728293325	4.91989987346042	10.4259042052825	-0.905017093598339	-2.1773789409468	-0.904288248475717	0.363829333333267	2.54120827428007	0.471246006389776	-0.350382141486527	-11.5600091821253	-0.346007035835135	11.0278071165328	22.5878162986581	0.061	0.0575	-1.64558118125481	-3.63062692383122	-1.65998652607671	0.46666704502602	4.09729396885724	0	NA	NA	NA	NA	NA	NA	1	-0.360325016792587	0.129834117726578	1	-0.905017093598339	0.819055939705184	1	-0.350382141486527	0.122767645072685	1	-1.64558118125481	2.70793742409997	1.0018656684185	4599.58918967318	0	1.00225226627987	10840.2387479545	0	NA	NA	NA	NA	NA	NA	NA	NA
