rep	prior_id	scenario_id	prior_label	design_prior_type	prior_family	omega_D	profile	component	component_id	H_D	true_delta_rmst_lookup	true_delta_rmst_rep	true_delta_med_rep	N_planned	K1	K2	n_interim	n_final	events_interim	events_final	censor_rate_interim	censor_rate_final	calendar_cutoff_interim	calendar_cutoff_final	tau	delta_star	a0_gp	grid_width_gp	B0_median_pfs	chains	parallel_chains	iter_warmup	iter_sampling	thin	adapt_delta	max_treedepth	n_saved_draws	cmdstan_seed	Pi1	Pi2_cf	post_mean_1	post_q025_1	post_q500_1	post_q975_1	post_width_1	post_mean_2	post_q025_2	post_q500_2	post_q975_2	post_width_2	Pi_beneficial_med_1	post_mean_med_1	post_q025_med_1	post_q500_med_1	post_q975_med_1	post_width_med_1	na_rate_med_1	Pi_beneficial_med_2	post_mean_med_2	post_q025_med_2	post_q500_med_2	post_q975_med_2	post_width_med_2	na_rate_med_2	cover_lookup_1	bias_lookup_1	sqerr_lookup_1	cover_lookup_2	bias_lookup_2	sqerr_lookup_2	cover_rep_1	bias_rep_1	sqerr_rep_1	cover_rep_2	bias_rep_2	sqerr_rep_2	cover_med_rep_1	bias_med_rep_1	sqerr_med_rep_1	cover_med_rep_2	bias_med_rep_2	sqerr_med_rep_2	max_Rhat_1	min_ESS_1	n_divergent_1	max_Rhat_2	min_ESS_2	n_divergent_2	post_eta_PH_trt_mean_1	post_eta_PH_trt_q025_1	post_eta_PH_trt_q500_1	post_eta_PH_trt_q975_1	post_eta_PH_trt_mean_2	post_eta_PH_trt_q025_2	post_eta_PH_trt_q500_2	post_eta_PH_trt_q975_2
13	2	2	no_benefit_continuous	no_benefit_continuous	continuous	0	none	no_benefit	0	0	NA	-1.59752499061552	-2.11573787327264	1000	360	600	1000	1000	360	810	0.64	0.19	5.51970970448241	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101012	0.3716	0.001	-0.900111173641129	-6.13483677009168	-0.945512337093176	4.58102038493148	10.7158571550232	-1.56781451438313	-2.58176040848377	-1.57367307507907	-0.544005755382766	2.03775465310101	0.411438728565454	-1.26185583194798	-12.5792684643916	-1.0727569163194	10.1446883831642	22.7239568475557	0.0436	0.0049	-1.77022099122274	-3.09706138434799	-1.78162017096845	-0.436639495290029	2.66042188905796	0	NA	NA	NA	NA	NA	NA	1	0.69741381697439	0.486386032106787	1	0.0297104762323879	0.000882712397955285	1	0.853882041324662	0.729114540496771	1	0.345516882049901	0.119381915781485	1.00189638548756	4152.78706247906	0	1.00127254071724	11094.3910520925	0	NA	NA	NA	NA	NA	NA	NA	NA
20	2	2	no_benefit_continuous	no_benefit_continuous	continuous	0	none	no_benefit	0	0	NA	-1.06649194194715	-1.2465786257096	1000	360	600	1000	1000	360	785	0.64	0.215	5.86771006058173	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101019	0.4058	3e-04	-0.67195298926617	-6.27073821546674	-0.714500955191213	4.98650877927826	11.257246994745	-1.84200944001446	-2.91556890388931	-1.84273451894848	-0.794748098267235	2.12082080562208	0.444978632478632	-0.823371123880751	-12.6047765178307	-0.732901603946685	11.0464713295504	23.6512478473811	0.064	0.0047	-2.57055895867027	-4.62628426476076	-2.54630783097274	-0.592102100382271	4.03418216437849	0	NA	NA	NA	NA	NA	NA	1	0.39453895268098	0.155660985182605	1	-0.775517498067308	0.601427389808576	1	0.423207501828847	0.179104589604213	1	-1.32398033296067	1.75292392206665	1.00146298583329	4534.04696228882	0	1.00182260392385	12871.9457051206	0	NA	NA	NA	NA	NA	NA	NA	NA
31	2	2	no_benefit_continuous	no_benefit_continuous	continuous	0	none	no_benefit	0	0	NA	-1.15908860644161	-1.52536291707358	1000	360	600	1000	1000	360	790	0.64	0.21	5.46407187356707	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101030	0.4136	2e-04	-0.615663728197189	-6.03306832676028	-0.684194338826677	4.97664115055265	11.0097094773129	-1.7786290792615	-2.8368234837955	-1.78267207213879	-0.708626649723285	2.12819683407222	0.442263035676589	-0.817007715355356	-12.1978557795248	-0.80824003620788	11.1959230732106	23.3937788527355	0.0526	0.0055	-1.9546759359815	-3.58280282891991	-1.91241499753263	-0.554676788371664	3.02812604054824	0	NA	NA	NA	NA	NA	NA	1	0.543424878244416	0.295310598294958	1	-0.619540472819893	0.383830397461896	1	0.708355201718227	0.50176709180127	1	-0.429313018907922	0.184309668203834	1.00117286937138	4682.10255757387	0	1.00188751621248	14787.7223868714	0	NA	NA	NA	NA	NA	NA	NA	NA
19	2	2	no_benefit_continuous	no_benefit_continuous	continuous	0	none	no_benefit	0	0	NA	-0.801320042236819	-1.20936025744385	1000	360	600	1000	1000	360	748	0.64	0.252	6.18506922556286	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101018	0.391	0.0183	-0.728994771709332	-5.7783338255377	-0.73497617091148	4.48411847379799	10.2624522993357	-1.1254133639191	-2.19503725024755	-1.12983747532008	-0.0560496450032599	2.13898760524429	0.43089259337413	-0.88284337030049	-11.6849635383298	-0.7660382987443	10.1516549211955	21.8366184595253	0.0522	0.0933	-1.53121143323458	-3.611645803659	-1.59748584783561	0.782135569908139	4.39378137356713	0	NA	NA	NA	NA	NA	NA	1	0.0723252705274868	0.00523094475687415	1	-0.324093321682276	0.105036481159051	1	0.326516887143364	0.106613277589793	1	-0.321851175790729	0.103588179357875	1.00136102688223	4373.69840710992	0	1.00156861805525	12555.0858523347	0	NA	NA	NA	NA	NA	NA	NA	NA
32	2	2	no_benefit_continuous	no_benefit_continuous	continuous	0	none	no_benefit	0	0	NA	-1.39762791362133	-1.80352193362459	1000	360	600	1000	1000	360	778	0.64	0.222	5.24856228560297	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101031	0.2276	0	-2.12095840376774	-7.45543677545088	-2.15964071572714	3.37536049986203	10.8307972753129	-2.0713726853385	-3.12049601372522	-2.07299152544001	-1.01736477742246	2.10313123630276	0.257948663779444	-3.40243512619574	-14.2036245767671	-3.08880454400829	7.51368324059174	21.7173078173588	0.0533	4e-04	-2.86951144272705	-4.74459821654703	-2.8637105483981	-1.05268133066042	3.69191688588661	0	NA	NA	NA	NA	NA	NA	1	-0.723330490146408	0.523206997975443	1	-0.673744771717172	0.453932017416224	1	-1.59891319257116	2.55652339737809	1	-1.06598950910246	1.13633363351651	1.00220237735875	4343.18054457694	0	1.00152211747762	10343.324009114	0	NA	NA	NA	NA	NA	NA	NA	NA
12	2	2	no_benefit_continuous	no_benefit_continuous	continuous	0	none	no_benefit	0	0	NA	-0.511319434631249	-0.523041512774098	1000	360	600	1000	1000	360	758	0.64	0.242	5.51900326815849	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101011	0.5514	0.3743	0.359615061030346	-5.02548339880203	0.35566038740556	5.76414514365933	10.7896285424614	-0.173462739960769	-1.21552918449303	-0.178687516866511	0.90370100668052	2.11923019117355	0.525974704714121	0.356132616153504	-11.3264502871171	0.316425052154409	11.9703755766292	23.2968258637464	0.0433	0.2512	-0.680534366983676	-2.69165250460306	-0.685887410921596	1.32373225019196	4.01538475479501	0	NA	NA	NA	NA	NA	NA	1	0.870934495661595	0.758526895733316	1	0.337856694670479	0.114147146133661	1	0.879174128927602	0.772947148975607	1	-0.157492854209578	0.0248039991270795	1.00141599327403	4505.07962503128	0	1.00171955665728	10446.9056087146	0	NA	NA	NA	NA	NA	NA	NA	NA
10	2	2	no_benefit_continuous	no_benefit_continuous	continuous	0	none	no_benefit	0	0	NA	-1.14591661299406	-1.52627481420856	1000	360	600	1000	1000	360	777	0.64	0.223	5.58523228248603	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101009	0.3542	0.0391	-1.04225001527253	-6.46300568657681	-1.07357243302066	4.50196824990005	10.9649739364769	-0.935216719559949	-1.97092113515996	-0.934237098317823	0.108912440733048	2.07983357589301	0.399239141921167	-1.44322781670636	-12.8401146235102	-1.31614144692083	10.1650440515225	23.0051586750326	0.0537	0.1418	-0.931275426733725	-2.77095892321795	-0.907080145975526	0.767552174633996	3.53851109785194	0	NA	NA	NA	NA	NA	NA	1	0.103666597721525	0.0107467634831564	1	0.210699893434106	0.0443944450931436	1	0.0830469975022006	0.00689680379413051	1	0.594999387474833	0.354024271095426	1.00156987503335	4390.88081219732	0	1.00119290103039	11467.8449846429	0	NA	NA	NA	NA	NA	NA	NA	NA
64	2	2	no_benefit_continuous	no_benefit_continuous	continuous	0	none	no_benefit	0	0	NA	-0.730822571549936	-0.931343471955197	1000	360	600	1000	1000	360	752	0.64	0.248	5.96151634878967	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101063	0.3688	0.0916	-0.97086949717217	-6.58838521264589	-0.989235313427107	4.72420965254039	11.3125948651863	-0.730030199431805	-1.79626298339392	-0.734900167281898	0.359129544573625	2.15539252796755	0.416702355460385	-1.13858864735183	-12.7705350033672	-1.12678659770876	10.7357185200722	23.5062535234394	0.066	0.2487	-0.686917912524914	-2.92155984130151	-0.593122647240197	1.19157245330496	4.11313229460648	0	NA	NA	NA	NA	NA	NA	1	-0.240046925622234	0.0576225265006865	1	0.000792372118131546	6.27853573592272e-07	1	-0.207245175396636	0.0429505627251825	1	0.244425559430283	0.0597438541028069	1.00192236732747	4585.16398516636	0	1.00168109248323	11583.6021094041	0	NA	NA	NA	NA	NA	NA	NA	NA
8	2	2	no_benefit_continuous	no_benefit_continuous	continuous	0	none	no_benefit	0	0	NA	-0.684205622739935	-0.802345372971018	1000	360	600	1000	1000	360	785	0.64	0.215	5.42040340996247	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101007	0.4352	0.2522	-0.442691760939015	-5.69316115550904	-0.462510864214567	4.91773805990186	10.6108992154109	-0.349746503875755	-1.36765769442555	-0.351703831075573	0.674717996864182	2.04237569128974	0.469733153358945	-0.424622493504938	-11.6073569426714	-0.354441958462544	11.164197328674	22.7715542713454	0.0369	0.4059	-0.186065675761704	-1.69785782790296	-0.198326991710934	1.39071319650477	3.08857102440772	0	NA	NA	NA	NA	NA	NA	1	0.241513861800919	0.0583289454419936	1	0.33445911886418	0.111862902191403	1	0.37772287946608	0.142674573672147	1	0.616279697209315	0.379800665192405	1.00129126845023	4331.93896698764	0	1.00160679958342	12771.5009953399	0	NA	NA	NA	NA	NA	NA	NA	NA
9	2	2	no_benefit_continuous	no_benefit_continuous	continuous	0	none	no_benefit	0	0	NA	-1.30483735133521	-2.00226302138861	1000	360	600	1000	1000	360	763	0.64	0.237	5.8156145525597	24	24	0	2	1	10	4	1	5000	2500	1	0.99	14	10000	101008	0.347	7e-04	-1.12704294026126	-6.5636268239785	-1.19516861085088	4.49457234804352	11.058199172022	-1.74687880805781	-2.80996712059209	-1.74603301869972	-0.690974612979686	2.1189925076124	0.396752483709005	-1.51330915562605	-12.9229396288174	-1.4602512925181	10.1446329105197	23.0675725393371	0.0639	2e-04	-3.05315303559859	-4.76184173677677	-3.03217963489434	-1.45895285793642	3.30288887884035	0	NA	NA	NA	NA	NA	NA	1	0.177794411073948	0.0316108526091318	1	-0.442041456722599	0.195400649461438	1	0.488953865762558	0.23907588284415	1	-1.05089001420998	1.10436982196625	1.00151285873299	4213.62725496391	0	1.00122959841717	13433.0825834373	0	NA	NA	NA	NA	NA	NA	NA	NA
